 股票代碼 | 股票名稱 | 收盤價  | 漲幅% | 成交量(張) | 量比 | ETF | ETF數 | ETF權重% | 綜合評分 |  MA5   |  MA20  |  MA60  
----------+----------+---------+-------+------------+------+-----+-------+----------+----------+--------+--------+--------
 1528     | 恩德     |   29.45 |  9.89 |      13699 | 2.86 | ✅  |     1 |     0.24 |     93.2 |  27.38 |  27.30 |  20.34
 8210     | 勤誠     | 1085.00 |  9.82 |       7761 | 2.19 | ✅  |     1 |     0.60 |     83.9 | 966.60 | 944.05 | 937.32
 3576     | 聯合再生 |   14.85 | 10.00 |      59470 | 1.57 | ✅  |     1 |     0.40 |     80.7 |  12.61 |  11.06 |   8.59
 3535     | 晶彩科   |  109.00 |  9.77 |      18047 | 2.22 | ❌  |     0 |     0.00 |     71.3 |  99.44 |  99.16 |  89.84
 6861     | 睿生光電 |   74.90 |  9.02 |       3582 | 4.02 | ❌  |     0 |     0.00 |     69.7 |  66.24 |  66.17 |  61.52
 2486     | 一詮     |  142.00 |  9.65 |      11032 | 1.71 | ❌  |     0 |     0.00 |     65.7 | 130.70 | 109.17 |  98.94
 6152     | 百一     |   15.95 | 10.00 |       6983 | 1.81 | ❌  |     0 |     0.00 |     65.1 |  13.81 |  13.33 |  10.79
 4949     | 有成精密 |   51.50 |  9.93 |       5187 | 2.00 | ❌  |     0 |     0.00 |     64.9 |  47.61 |  43.91 |  40.04
 6830     | 汎銓     |  227.50 |  9.90 |       5551 | 1.63 | ❌  |     0 |     0.00 |     61.5 | 196.60 | 185.33 | 172.61
 3437     | 榮創     |   16.95 |  6.94 |       8659 | 2.08 | ❌  |     0 |     0.00 |     57.2 |  16.15 |  15.65 |  14.68
 4956     | 光鋐     |   26.05 |  7.42 |      16588 | 1.72 | ❌  |     0 |     0.00 |     56.9 |  24.03 |  21.75 |  20.84
 6207     | 雷科     |   56.10 |  6.86 |       3702 | 2.37 | ❌  |     0 |     0.00 |     54.8 |  53.06 |  52.70 |  52.63
 4960     | 誠美材   |   14.80 |  1.72 |      26627 | 3.60 | ❌  |     0 |     0.00 |     46.9 |  13.86 |  13.85 |  13.59
 4934     | 太極     |   18.25 |  4.29 |       8900 | 1.97 | ❌  |     0 |     0.00 |     45.8 |  16.40 |  15.77 |  14.22
 2431     | 聯昌     |   16.05 |  4.22 |       8832 | 1.72 | ❌  |     0 |     0.00 |     42.9 |  15.52 |  14.19 |  12.41
 3691     | 碩禾     |  121.50 |  4.74 |       3158 | 1.98 | ❌  |     0 |     0.00 |     41.9 | 116.30 | 111.33 | 111.18
 2485     | 兆赫     |   46.05 |  1.77 |     165820 | 2.29 | ❌  |     0 |     0.00 |     40.0 |  42.40 |  36.75 |  28.43
 1466     | 聚隆     |   15.15 |  3.06 |       1312 | 2.55 | ❌  |     0 |     0.00 |     39.1 |  14.78 |  14.48 |  14.38
 3030     | 德律     |  188.00 |  0.53 |       6397 | 1.36 | ✅  |     1 |     2.18 |     37.1 | 184.00 | 179.60 | 172.03
 3209     | 全科     |   35.45 |  1.29 |       3238 | 2.33 | ❌  |     0 |     0.00 |     31.7 |  33.94 |  33.50 |  32.79
 2855     | 統一證   |   29.05 |  0.52 |      10343 | 1.60 | ❌  |     0 |     0.00 |     28.1 |  28.91 |  28.37 |  25.75
 3714     | 富采     |   37.15 |  1.23 |       6525 | 1.42 | ❌  |     0 |     0.00 |     25.6 |  36.15 |  35.88 |  34.06
 6202     | 盛群     |   48.00 |  1.80 |       5020 | 1.34 | ❌  |     0 |     0.00 |     25.6 |  46.67 |  43.55 |  39.62
 2897     | 王道銀行 |    9.21 |  0.44 |       5856 | 1.58 | ❌  |     0 |     0.00 |     23.4 |   9.16 |   9.14 |   9.13
 4952     | 凌通     |   40.50 |  0.50 |        582 | 1.46 | ❌  |     0 |     0.00 |     17.2 |  39.83 |  38.53 |  36.75
(25 rows)

