年線附近選股 - 101 檔股票代號清單
============================================================

【逗號分隔格式】（適合複製到 Excel 或試算表）
3685,6425,3363,3580,4303,6261,4123,5508,5315,4768,6290,3289,4416,6179,7777,4105,6462,6643,6156,5009,8936,6284,8927,6207,6603,4909,6245,6190,8048,5309,4130,3372,3526,4908,5291,8069,8054,4966,3455,6187,6651,4979,8044,6143,3498,6547,3430,6683,6127,5483,5864,5425,3466,4114,8155,6488,8034,3317,5512,1569,8390,6546,3260,3491,5340,6121,6510,3663,6026,2736,8111,3294,3689,4903,3693,3078,8431,6111,3221,5905,6126,3066,6130,4714,4953,3324,3290,6147,3265,8076,3227,3587,5302,3511,6231,5530,6274,2641,4510,4167,1785

============================================================

【詳細清單】
No.  股票代號     股票名稱              2/6收盤       距離年線
============================================================
1    3685     元創精密              38.00     -0.00%
2    6425     易發                66.00     +0.01%
3    3363     上詮               428.00     -0.02%
4    3580     友威科               66.40     -0.03%
5    4303     信立                56.60     -0.03%
6    6261     久元                72.40     +0.12%
7    4123     晟德                39.40     -0.13%
8    5508     永信建               58.90     -0.18%
9    5315     光聯                25.05     +0.18%
10   4768     晶呈科技             395.50     +0.22%
11   6290     良維               172.00     -0.27%
12   3289     宜特               128.00     +0.34%
13   4416     三圓                28.90     -0.35%
14   6179     亞通                27.15     -0.38%
15   7777     能率亞洲              35.50     -0.46%
16   4105     東洋                84.50     +0.47%
17   6462     神盾               107.50     -0.48%
18   6643     M31              473.00     +0.49%
19   6156     松上                20.40     -0.50%
20   5009     榮剛                33.30     +0.58%
21   8936     國統                50.30     -0.60%
22   6284     佳邦                82.70     -0.61%
23   8927     北基                24.10     +0.61%
24   6207     雷科                52.90     +0.71%
25   6603     富強鑫               25.55     +0.78%
26   4909     新復興               53.50     -0.78%
27   6245     立端                67.20     -0.90%
28   6190     萬泰科               48.65     +0.91%
29   8048     德勝                54.90     +0.92%
30   5309     系統電               65.00     -0.92%
31   4130     健亞                31.75     +0.94%
32   3372     典範                20.80     +0.96%
33   3526     凡甲               264.00     +0.96%
34   4908     前鼎                72.30     +1.07%
35   5291     邑昇                36.00     -1.14%
36   8069     元太               172.50     +1.15%
37   8054     安國               124.50     -1.23%
38   4966     譜瑞-KY            519.00     -1.32%
39   3455     由田               110.00     +1.34%
40   6187     萬潤               369.00     -1.35%
41   6651     全宇昕               98.00     -1.40%
42   4979     華星光              318.50     +1.40%
43   8044     網家                27.80     +1.44%
44   6143     振曜               102.00     -1.45%
45   3498     陽程                48.65     +1.52%
46   6547     高端疫苗              36.45     -1.61%
47   3430     奇鈦科               65.40     +1.67%
48   6683     雍智科技             708.00     +1.68%
49   6127     九豪                35.25     +1.69%
50   5483     中美晶              116.50     +1.73%
51   5864     致和證               22.70     -1.74%
52   5425     台半                60.70     -1.78%
53   3466     德晉                37.85     -1.80%
54   4114     健喬                32.50     +1.86%
55   8155     博智               210.50     -1.87%
56   6488     環球晶              466.00     -1.88%
57   8034     榮群                24.05     +1.89%
58   3317     尼克森               46.65     -1.89%
59   5512     力麒                 7.94     +1.90%
60   1569     濱川                52.80     +1.92%
61   8390     金益鼎               95.10     +1.92%
62   6546     正基                60.00     -1.96%
63   3260     威剛               306.50     -1.97%
64   3491     昇達科             1255.00     -1.98%
65   5340     建榮               102.00     -1.99%
66   6121     新普               339.50     -2.01%
67   6510     精測              3700.00     -2.02%
68   3663     鑫科                57.70     +2.03%
69   6026     福邦證               14.45     -2.03%
70   2736     富野                14.15     +2.12%
71   8111     立碁                64.00     -2.16%
72   3294     英濟                35.85     -2.19%
73   3689     湧德               111.00     -2.19%
74   4903     聯光通               38.60     +2.19%
75   3693     營邦               394.00     +2.23%
76   3078     僑威                61.00     -2.24%
77   8431     匯鑽科               63.40     +2.25%
78   6111     光聚                43.00     -2.28%
79   3221     台嘉碩               28.25     -2.30%
80   5905     南仁湖                9.14     +2.31%
81   6126     信音                37.50     -2.33%
82   3066     李洲                15.00     +2.35%
83   6130     上亞科技              41.25     +2.36%
84   4714     永捷                16.30     -2.40%
85   4953     緯軟               117.50     -2.46%
86   3324     雙鴻              1030.00     +2.47%
87   3290     東浦                48.55     -2.49%
88   6147     頎邦                52.90     -2.57%
89   3265     台星科              132.50     -2.57%
90   8076     伍豐                23.40     +2.60%
91   3227     原相               187.00     -2.60%
92   3587     閎康               213.50     +2.60%
93   5302     太欣                11.00     -2.64%
94   3511     矽瑪                21.00     +2.65%
95   6231     系微               199.00     -2.70%
96   5530     龍巖                50.40     +2.71%
97   6274     台燿               519.00     +2.72%
98   2641     正德                19.40     -2.75%
99   4510     高鋒                48.50     -2.87%
100  4167     松瑞藥               19.95     -2.91%
101  1785     光洋科               58.30     -2.99%
============================================================
總計：101 檔
