# 逐字稿 - moneyline_20260206_part2
# 來源網址: https://www.youtube.com/watch?v=c_z9nnTywes
# 轉換日期: 2026-02-07 14:06:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.960]  我們剛剛錄節目一開始的時候
[00:00:06.960 --> 00:00:08.800]  還擔心因為美國跟伊朗的官員
[00:00:08.800 --> 00:00:09.840]  要進行談判了
[00:00:09.840 --> 00:00:11.000]  所以今天凌晨
[00:00:11.000 --> 00:00:13.000]  這美國伊朗虛擬大使館
[00:00:13.000 --> 00:00:14.360]  就發出了這樣的警訊
[00:00:14.360 --> 00:00:15.840]  又要叫住伊朗這個美國人
[00:00:15.840 --> 00:00:17.000]  趕快離開
[00:00:17.000 --> 00:00:18.360]  會不會影響到股市
[00:00:18.360 --> 00:00:19.440]  今天四位專家都說
[00:00:19.440 --> 00:00:20.400]  要放在心上
[00:00:20.400 --> 00:00:21.960]  但是影響更不會太大
[00:00:21.960 --> 00:00:23.720]  比如說今天美國騎禍盤
[00:00:23.720 --> 00:00:25.360]  我們錄影錄到現在剛剛好
[00:00:25.360 --> 00:00:26.400]  一個小時
[00:00:26.400 --> 00:00:27.400]  美國騎禍盤
[00:00:27.400 --> 00:00:28.640]  敵夫有在修煉
[00:00:28.640 --> 00:00:30.000]  台子騎的夜盤
[00:00:30.000 --> 00:00:31.800]  在今天順利的開高
[00:00:31.800 --> 00:00:33.040]  台積電的ADR
[00:00:33.040 --> 00:00:33.760]  敏翰提到了
[00:00:33.760 --> 00:00:34.640]  就算發生這個事情
[00:00:34.640 --> 00:00:36.960]  台積電的硬定單也不會受影響
[00:00:36.960 --> 00:00:40.000]  台積電ADR目前也在平盤之上
[00:00:40.000 --> 00:00:41.200]  但我就擔心
[00:00:41.200 --> 00:00:41.960]  陳老師
[00:00:41.960 --> 00:00:43.640]  美銀提出了警訊
[00:00:43.640 --> 00:00:45.400]  瑞銀提出了警訊
[00:00:45.400 --> 00:00:47.960]  如果大家的警訊越來越多
[00:00:47.960 --> 00:00:49.200]  到底市場的反應
[00:00:49.200 --> 00:00:51.240]  會因為警訊越來越多
[00:00:51.240 --> 00:00:52.680]  大家心裡有所準備了
[00:00:52.680 --> 00:00:54.360]  風險漸漸消失
[00:00:54.360 --> 00:00:56.480]  還是會像吹氣球一樣
[00:00:56.480 --> 00:00:57.640]  慢慢的堆業起來
[00:00:57.640 --> 00:00:58.680]  最後報開
[00:00:58.680 --> 00:00:59.840]  好 我先講一下
[00:00:59.840 --> 00:01:02.120]  瑞銀這個2026年的時大意外
[00:01:02.120 --> 00:01:04.800]  第一個這個是2月2號所公布的
[00:01:04.800 --> 00:01:05.320]  對
[00:01:05.320 --> 00:01:07.320]  然後他說是時大意外
[00:01:07.320 --> 00:01:09.120]  並不等於都是風險
[00:01:09.120 --> 00:01:10.200]  他裡面也有說
[00:01:10.200 --> 00:01:11.920]  什麼先風漲在幹嘛的
[00:01:11.920 --> 00:01:16.360]  所以我是從一個解讀者的立場
[00:01:16.360 --> 00:01:17.720]  來講他們這個狀況
[00:01:17.720 --> 00:01:19.000]  到底合理不合理
[00:01:19.000 --> 00:01:20.640]  我們先第一個來看
[00:01:20.640 --> 00:01:23.640]  他說先風漲再大點
[00:01:23.640 --> 00:01:25.960]  那大家先看到風漲就開心了
[00:01:25.960 --> 00:01:29.520]  漲 先漲20%後級跌
[00:01:29.520 --> 00:01:30.800]  所以這怎麼會是看壞
[00:01:30.800 --> 00:01:32.320]  這是非常看好
[00:01:32.320 --> 00:01:34.080]  而且我們剛剛都看到
[00:01:34.080 --> 00:01:36.240]  那是達克那個走勢
[00:01:36.240 --> 00:01:38.280]  那個走勢還能夠在往上20%
[00:01:38.280 --> 00:01:39.640]  那也算厲害
[00:01:39.640 --> 00:01:40.320]  就是一般來講
[00:01:40.320 --> 00:01:41.320]  大家都覺得這個現實
[00:01:41.320 --> 00:01:43.800]  好像有一點做頭的感覺
[00:01:43.800 --> 00:01:45.920]  所以我覺得這個我的看法
[00:01:45.920 --> 00:01:47.520]  當然我先解讀他的
[00:01:47.520 --> 00:01:48.520]  再講我的
[00:01:48.520 --> 00:01:51.320]  我是覺得這個比較難
[00:01:51.320 --> 00:01:53.520]  先漲20%再大點
[00:01:53.520 --> 00:01:55.600]  我覺得先跌20%再反彈
[00:01:55.600 --> 00:01:57.440]  機會可能還比較高
[00:01:57.440 --> 00:01:58.360]  可能還比較高
[00:01:58.360 --> 00:01:59.840]  這個是
[00:01:59.840 --> 00:02:01.880]  當然後面講這個我就認同
[00:02:01.880 --> 00:02:04.800]  市場過度集中跟這一次不一樣
[00:02:04.800 --> 00:02:08.440]  這個就是比較樂觀時候的心態
[00:02:08.440 --> 00:02:09.240]  這第一個
[00:02:09.240 --> 00:02:11.160]  第二個他引發大跌的原因
[00:02:11.160 --> 00:02:12.560]  一定是科技股
[00:02:12.560 --> 00:02:14.960]  我們剛剛已經看到很多的股票了
[00:02:14.960 --> 00:02:16.560]  譬如說灰打的股價
[00:02:16.560 --> 00:02:17.760]  一直都不行
[00:02:17.760 --> 00:02:18.960]  都在記憶限之下
[00:02:18.960 --> 00:02:19.840]  那更不要講那些
[00:02:19.840 --> 00:02:20.800]  其他科技公司
[00:02:20.800 --> 00:02:24.240]  其實跌破年限的已經好幾家了
[00:02:24.240 --> 00:02:27.280]  那這些高估值的科技股引爆
[00:02:27.280 --> 00:02:29.760]  第一個資本支出過高清實利潤
[00:02:29.760 --> 00:02:31.760]  半導體的超額貨率將難以維持
[00:02:31.760 --> 00:02:33.160]  其實應該這樣講
[00:02:33.160 --> 00:02:35.160]  半導體算是最後一棒
[00:02:35.160 --> 00:02:36.640]  我們都知道資本支出花
[00:02:36.640 --> 00:02:38.400]  花了以後是賣產值的賺錢
[00:02:38.400 --> 00:02:40.040]  賣產值在那邊是半導體
[00:02:40.040 --> 00:02:43.360]  所以你跟我買這些AI晶片
[00:02:43.360 --> 00:02:44.800]  然後你一直賺不到錢
[00:02:44.800 --> 00:02:45.840]  所以你股價不好
[00:02:45.840 --> 00:02:47.600]  但是我賣給你我很好
[00:02:47.600 --> 00:02:50.240]  可是慢慢慢慢的也會發現
[00:02:50.240 --> 00:02:52.600]  這樣子我半導體會被拖累
[00:02:52.600 --> 00:02:53.800]  所以他講的是這件事情
[00:02:53.800 --> 00:02:55.480]  其實我覺得已經在發生了
[00:02:55.480 --> 00:02:57.800]  譬如說我講那個
[00:02:57.800 --> 00:02:58.680]  這個NVIDIA
[00:02:58.680 --> 00:03:00.680]  NVIDIA就算是半導體
[00:03:00.680 --> 00:03:02.120]  那現在只是說
[00:03:02.120 --> 00:03:03.680]  台積電還沒有被拖累
[00:03:03.680 --> 00:03:05.200]  那為什麼台積電沒有被拖累
[00:03:05.200 --> 00:03:08.720]  因為所有人不管你是用GPU也好
[00:03:08.720 --> 00:03:09.760]  你用ASIC也好
[00:03:09.760 --> 00:03:11.360]  你都是要交給台積電代工
[00:03:11.360 --> 00:03:12.720]  而且台積電到目前為止
[00:03:12.720 --> 00:03:14.000]  你看不到競爭者
[00:03:14.000 --> 00:03:17.400]  所以台積電還能夠維持在這個往位上
[00:03:17.400 --> 00:03:19.400]  但是其他的營帶都不行
[00:03:19.400 --> 00:03:21.200]  所以我覺得這個是
[00:03:21.200 --> 00:03:22.960]  他講的這些東西我是認同的
[00:03:22.960 --> 00:03:24.560]  那現在半導體的焦點
[00:03:24.560 --> 00:03:27.760]  其實又從金原代工轉向什麼
[00:03:27.760 --> 00:03:29.640]  向美光這一種記憶體
[00:03:29.640 --> 00:03:31.800]  可是就像剛才博傑一開始有講
[00:03:31.800 --> 00:03:33.720]  記憶體感覺上好像在高檔
[00:03:33.720 --> 00:03:36.200]  也有一些震盪的一個空間
[00:03:36.200 --> 00:03:38.600]  所以我覺得這個要觀察
[00:03:38.600 --> 00:03:39.400]  這個要觀察
[00:03:39.400 --> 00:03:42.720]  就是半導體在今年第一季過年前後
[00:03:42.720 --> 00:03:44.120]  的一個股價表現
[00:03:44.120 --> 00:03:45.520]  然後再來講到債券
[00:03:45.520 --> 00:03:47.120]  這裡講的債券有兩種
[00:03:47.120 --> 00:03:48.720]  一種是美國的國債
[00:03:48.720 --> 00:03:50.280]  美國國債的指利率
[00:03:50.280 --> 00:03:52.680]  他說可能會突破5%
[00:03:52.680 --> 00:03:54.120]  當然以現在的角度來看
[00:03:54.120 --> 00:03:55.920]  現在是4.3%
[00:03:55.920 --> 00:03:57.320]  要到5%不得了
[00:03:57.320 --> 00:03:58.360]  那真的是意外
[00:03:58.360 --> 00:03:59.640]  那真的是意外
[00:03:59.640 --> 00:04:01.440]  有沒有可能
[00:04:01.440 --> 00:04:02.760]  當然是有可能
[00:04:02.760 --> 00:04:03.520]  當然是有可能
[00:04:03.520 --> 00:04:04.600]  只是說
[00:04:04.600 --> 00:04:07.280]  他是譬如說現在是4.3
[00:04:07.280 --> 00:04:09.280]  馬上就到5嗎
[00:04:09.280 --> 00:04:10.880]  那如果是這樣子的話
[00:04:10.880 --> 00:04:13.680]  那就代表是債券市場的大風暴
[00:04:13.680 --> 00:04:14.160]  是
[00:04:14.160 --> 00:04:15.360]  因為指率標高就代表
[00:04:15.360 --> 00:04:16.240]  降低價的大跌
[00:04:16.240 --> 00:04:18.160]  你手上的那些20年
[00:04:18.160 --> 00:04:19.320]  沒債貨
[00:04:19.320 --> 00:04:20.880]  一貼服都會搭配
[00:04:20.880 --> 00:04:22.800]  但我的看法先講我的看法
[00:04:22.800 --> 00:04:26.280]  我的看法反而是4.3
[00:04:26.280 --> 00:04:28.400]  現在的方向會先往下
[00:04:28.400 --> 00:04:29.440]  可能會往4.0
[00:04:29.440 --> 00:04:30.840]  甚至3.9
[00:04:30.840 --> 00:04:32.640]  剛好這兩天不是美國股市下跌嗎
[00:04:32.640 --> 00:04:34.160]  大家去找美國股市下跌的原因
[00:04:34.160 --> 00:04:36.480]  其實有一個很重要的就是
[00:04:36.480 --> 00:04:39.040]  有一家公司就公佈1月份
[00:04:39.040 --> 00:04:40.360]  美國的失業率的狀況
[00:04:40.360 --> 00:04:42.960]  美國失業的人數標高到11萬人
[00:04:42.960 --> 00:04:44.440]  其實這是很重要的一個訊號
[00:04:44.440 --> 00:04:48.240]  就是說大家常常在聽AIT代人
[00:04:48.240 --> 00:04:49.920]  或造成失業
[00:04:49.920 --> 00:04:51.560]  可是這個失業有兩種
[00:04:51.560 --> 00:04:54.000]  一種失業是低端的失業
[00:04:54.000 --> 00:04:56.520]  譬如說一些旅館業 餐飲業
[00:04:56.520 --> 00:04:58.920]  這一種失業其實大家不太在意的
[00:04:58.920 --> 00:05:00.600]  但如果是高階百領失業
[00:05:00.600 --> 00:05:01.360]  那不得了
[00:05:01.360 --> 00:05:04.680]  高階百領每一個人都是對經濟成長
[00:05:04.680 --> 00:05:06.480]  貢獻度很高的
[00:05:06.480 --> 00:05:07.960]  可是這一次我們看到的
[00:05:07.960 --> 00:05:10.160]  他們都是高階百領失業
[00:05:10.160 --> 00:05:12.120]  那這個高階百領失業的狀況
[00:05:12.120 --> 00:05:14.480]  他就會讓大家意外的會感覺
[00:05:14.480 --> 00:05:16.880]  就是說美國經濟好像不是
[00:05:16.880 --> 00:05:18.880]  如數字上的這麼完美
[00:05:18.880 --> 00:05:21.520]  他好像是有一點在走經濟衰退的狀況
