# 逐字稿 - moneyline_20260206_part3
# 來源網址: https://www.youtube.com/watch?v=ANr_5fVfhGc
# 轉換日期: 2026-02-07 14:08:31
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  好 如果您正在看電視的同一時間
[00:00:06.000 --> 00:00:08.120]  美國股市可以順順的開高
[00:00:08.120 --> 00:00:18.960]  那下個禮拜在沒有脈壓之際
[00:00:18.960 --> 00:00:21.120]  我們是不是就可以期待開紅盤
[00:00:21.120 --> 00:00:23.120]  尤其你看你說過完年
[00:00:23.120 --> 00:00:26.520]  這顆大贏蛋五百多億的現金
[00:00:26.520 --> 00:00:28.520]  將會空降 這錢哪裡來的
[00:00:28.520 --> 00:00:30.060]  其實我們上次來節目
[00:00:30.060 --> 00:00:32.160]  就提到在這個1月的時候
[00:00:32.160 --> 00:00:34.320]  有83檔的ETF不出權息
[00:00:34.320 --> 00:00:36.560]  對 那經過接近個月
[00:00:36.560 --> 00:00:37.520]  當時是出權息
[00:00:37.520 --> 00:00:39.160]  現在資金要進來了
[00:00:39.160 --> 00:00:40.760]  對 這個接近個月
[00:00:40.760 --> 00:00:42.400]  三週左右的時間
[00:00:42.400 --> 00:00:43.760]  那這個要告訴大家
[00:00:43.760 --> 00:00:44.960]  這個80幾檔
[00:00:44.960 --> 00:00:46.800]  但是他這個所謂資金
[00:00:46.800 --> 00:00:48.460]  配比是在4天
[00:00:48.460 --> 00:00:51.000]  這個是在這個所謂的風關日
[00:00:51.000 --> 00:00:53.200]  當了一天就有300多億資金
[00:00:53.200 --> 00:00:54.200]  配給大家
[00:00:54.200 --> 00:00:57.080]  然後這兩天就當時停止交易了
[00:00:57.080 --> 00:00:59.440]  可是還是有100多億60幾億的資金
[00:00:59.440 --> 00:01:00.440]  資金持續配入
[00:01:00.440 --> 00:01:02.920]  一直到分成第四天
[00:01:02.920 --> 00:01:04.080]  第四天就是開紅盤
[00:01:04.080 --> 00:01:05.680]  那一天還有3日幾億
[00:01:05.680 --> 00:01:06.960]  那這些資金
[00:01:06.960 --> 00:01:09.760]  就會進到大家的掌控之中
[00:01:09.760 --> 00:01:11.800]  那我們上次來就有告訴大家
[00:01:11.800 --> 00:01:13.960]  80幾檔的ETF
[00:01:13.960 --> 00:01:15.600]  我們只是來看一下
[00:01:15.600 --> 00:01:17.320]  目前前期的狀況
[00:01:17.320 --> 00:01:19.240]  還是以市值性主題性
[00:01:19.240 --> 00:01:21.280]  所謂主題性就是科技類規則
[00:01:21.280 --> 00:01:22.000]  半導體
[00:01:22.000 --> 00:01:23.160]  對 半導體
[00:01:23.160 --> 00:01:25.440]  科技AI那種叫主題性
[00:01:25.440 --> 00:01:27.520]  這兩個其實架構有點像
[00:01:27.520 --> 00:01:30.360]  因為現在AI主題就是要買AI
[00:01:30.360 --> 00:01:32.560]  市值性就靠台積電也是AI
[00:01:32.560 --> 00:01:33.640]  所以相對來講
[00:01:33.640 --> 00:01:35.360]  他們填席的狀況相對比較好
[00:01:35.360 --> 00:01:37.160]  高古席其實表現也不差
[00:01:37.160 --> 00:01:38.760]  因為好處就是什麼
[00:01:38.760 --> 00:01:41.360]  從12月到1月我們剛剛前段講
[00:01:41.360 --> 00:01:42.560]  年錢買大
[00:01:42.560 --> 00:01:45.200]  就是大型股不管有漲美漲
[00:01:45.200 --> 00:01:46.440]  應該說去年不好
[00:01:46.440 --> 00:01:49.360]  美漲的包含原物料也都大漲了一波
[00:01:49.360 --> 00:01:52.000]  所以高古席也都慢慢都有填席
[00:01:52.000 --> 00:01:54.400]  那唯有這個固定收益相對來講
[00:01:54.400 --> 00:01:55.520]  就相對比較弱
[00:01:55.520 --> 00:01:57.480]  因為再捲價格並沒有太好
[00:01:57.480 --> 00:01:59.640]  所以一直維持比較弱的格局
[00:01:59.640 --> 00:02:01.560]  這個架構就我們上次來的時候
[00:02:01.560 --> 00:02:02.960]  就告訴大家
[00:02:02.960 --> 00:02:05.480]  資金來講有盡量往風險
[00:02:05.480 --> 00:02:07.040]  高一點點的利益往跑
[00:02:07.040 --> 00:02:08.160]  就是我們之前講
[00:02:08.160 --> 00:02:10.000]  就是盡量往風險
[00:02:10.000 --> 00:02:12.360]  高的地方可以多得到一些報酬
[00:02:12.360 --> 00:02:13.680]  好 這就是我們講到
[00:02:13.680 --> 00:02:15.800]  可以這個年後五百億
[00:02:15.800 --> 00:02:19.240]  應該說風關那一天就有來到一半
[00:02:19.240 --> 00:02:21.040]  但是說真正的資金
[00:02:21.040 --> 00:02:23.000]  可能大家都是在這個年後
[00:02:23.000 --> 00:02:24.520]  可能才可以看得到
[00:02:24.520 --> 00:02:25.760]  再來我們在往下看
[00:02:25.760 --> 00:02:29.280]  就是講到再捲相對來一直弱勢的原因
[00:02:29.280 --> 00:02:30.640]  其實就兩個
[00:02:30.640 --> 00:02:32.040]  第一個部分就是因為
[00:02:32.040 --> 00:02:34.480]  被的降息的機率不斷往下走
[00:02:34.480 --> 00:02:37.960]  那如果說連總會不降息的情況下
