# 逐字稿 - moneyline_20260206_part1
# 來源網址: https://www.youtube.com/watch?v=kkPSkSs4WHg
# 轉換日期: 2026-02-07 14:11:10
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.340]  歡迎收看前線百分百觀投晚安 我是劉柱華
[00:00:19.340 --> 00:00:22.600]  台股下禮拜三農曆年要封關了
[00:00:22.600 --> 00:00:25.360]  但是在今天再繼續震盪
[00:00:25.360 --> 00:00:29.400]  專家說開紅盤的行情將要定一整年的輸贏了
[00:00:29.400 --> 00:00:32.200]  所以現在還有三天的時間讓你決定
[00:00:32.200 --> 00:00:35.700]  到底哪一些報告過年 哪些輕餐快跑
[00:00:35.700 --> 00:00:39.700]  總而言之 先預告專家說要把握這三天的兩劑
[00:00:39.700 --> 00:00:41.800]  因為現金為王
[00:00:41.800 --> 00:00:44.600]  那開紅盤到底會長會諜
[00:00:44.600 --> 00:00:46.600]  一整年如何定輸贏
[00:00:46.600 --> 00:00:49.140]  今天盤中有一些個股已經在預告了
[00:00:49.140 --> 00:00:52.620]  譬如說很多老AI為創廣達
[00:00:52.620 --> 00:00:55.900]  紛紛在盤中急拉翻紅 年後有戲嗎
[00:00:55.900 --> 00:00:58.400]  台積電太厲害所有軍線站上
[00:00:58.400 --> 00:01:00.400]  但紅海今天還要苦稱
[00:01:00.400 --> 00:01:03.100]  到底稱多久今天請教專家
[00:01:03.100 --> 00:01:04.400]  熱門焦點股呢
[00:01:04.400 --> 00:01:06.700]  今天記憶體PCB太陽呢
[00:01:06.700 --> 00:01:10.200]  全部在盤中大陣當開始搭大怒神了
[00:01:10.200 --> 00:01:13.700]  長駕行情還有持續熱硬的期待嗎
[00:01:13.700 --> 00:01:15.200]  正好議題起到四個來賓
[00:01:15.200 --> 00:01:16.800]  首先要請到鄭老師晚安
[00:01:16.800 --> 00:01:17.600]  坐好大晚安
[00:01:17.600 --> 00:01:19.700]  熱門焦點股今天交給博接晚安
[00:01:19.700 --> 00:01:20.400]  坐好大好
[00:01:20.400 --> 00:01:23.100]  一貼符雲河上車今天交給銘漢晚安
[00:01:23.100 --> 00:01:24.000]  坐好 大家好
[00:01:24.000 --> 00:01:25.100]  好 除救部息
[00:01:25.100 --> 00:01:28.200]  那些該報哪一些該走今天請教治理晚安
[00:01:28.200 --> 00:01:29.200]  坐好大晚安
[00:01:29.200 --> 00:01:30.200]  連續三天了
[00:01:30.200 --> 00:01:31.600]  台股持續大陣當
[00:01:31.600 --> 00:01:33.700]  不過今天正的方式不一樣哦
[00:01:33.700 --> 00:01:35.800]  今天先殺600點
[00:01:35.800 --> 00:01:38.900]  急拉678點這麼一陣
[00:01:38.900 --> 00:01:41.200]  倒是讓今天收小黑
[00:01:41.200 --> 00:01:43.700]  今天大盤今天小跌了18點
[00:01:43.700 --> 00:01:45.900]  收31782
[00:01:45.900 --> 00:01:48.900]  月線神奇的再度守住
[00:01:48.900 --> 00:01:51.900]  今天亮能6958億元
[00:01:51.900 --> 00:01:55.200]  三大法人等一下來看之所以說神奇
[00:01:55.200 --> 00:01:58.500]  大盤這個禮拜亮度回測月線
[00:01:58.500 --> 00:02:00.300]  第一次在禮拜一
[00:02:00.300 --> 00:02:02.800]  回測月線之際收了一個角
[00:02:02.800 --> 00:02:05.000]  第二次就在今天收了一個
[00:02:05.000 --> 00:02:06.700]  更長的下影線
[00:02:06.700 --> 00:02:11.500]  誰現在以月線作為最後的防守點
[00:02:11.500 --> 00:02:13.200]  到底意圖在哪裡
[00:02:13.200 --> 00:02:15.200]  利用哪一些個股來守月線
[00:02:15.200 --> 00:02:16.900]  今天我們都要告訴你哦
[00:02:16.900 --> 00:02:18.500]  三大法人外資金賣
[00:02:18.500 --> 00:02:20.100]  但是沒有賣昨天這麼多
[00:02:20.100 --> 00:02:21.400]  自營燒到是今天
[00:02:21.400 --> 00:02:22.900]  拋屬的力道比較重哦
[00:02:22.900 --> 00:02:24.900]  還在賣188億
[00:02:24.900 --> 00:02:27.100]  臺部今天收州線這個禮拜
[00:02:27.100 --> 00:02:28.800]  跌了280點
[00:02:28.800 --> 00:02:30.600]  週K比較要注意的是
[00:02:30.600 --> 00:02:32.900]  終止連6紅了
[00:02:32.900 --> 00:02:36.200]  雖然這個禮拜280點跌幅只有0.8%
[00:02:36.200 --> 00:02:37.900]  但是這個禮拜
[00:02:37.900 --> 00:02:40.100]  很多的個股跌得非常的重
[00:02:40.100 --> 00:02:42.500]  我們溫統計這短短一個禮拜以來
[00:02:42.500 --> 00:02:43.900]  漲幅最大的淘汰
[00:02:43.900 --> 00:02:45.600]  還有跌幅最重的淘汰
[00:02:45.600 --> 00:02:47.900]  首先漲最多的衛宿
[00:02:47.900 --> 00:02:49.000]  聯合在身
[00:02:49.000 --> 00:02:51.100]  百一千云科草德宏
[00:02:51.100 --> 00:02:53.300]  進民印能擁置還有證明
[00:02:53.300 --> 00:02:55.400]  是其中很多是太陽能
[00:02:55.400 --> 00:02:56.800]  很多是記憶體
[00:02:56.800 --> 00:02:58.300]  但是你說這個禮拜
[00:02:58.300 --> 00:03:00.300]  太陽能跟記憶體漲最凶嗎
[00:03:00.300 --> 00:03:03.200]  那也不是因為來看到跌最凶的
[00:03:03.200 --> 00:03:04.400]  第一名華東
[00:03:04.400 --> 00:03:06.300]  華邦殿與龍品安華星
[00:03:06.300 --> 00:03:07.400]  群聯請亞光
[00:03:07.400 --> 00:03:08.800]  也還有南亞各個安保
[00:03:08.800 --> 00:03:11.600]  這其中不也很多都是記憶體嗎
[00:03:11.600 --> 00:03:13.600]  所以熱門焦點股
[00:03:13.600 --> 00:03:15.900]  強弱開始越來越分明了
[00:03:15.900 --> 00:03:17.900]  怎麼主導開紅盤的行情
[00:03:17.900 --> 00:03:19.400]  等一下來請教專家
[00:03:19.400 --> 00:03:20.800]  臺北股市今天小跌
[00:03:20.800 --> 00:03:23.000]  亞洲股市今天漲跌互見
[00:03:23.000 --> 00:03:25.200]  當然日經主席韓國指數
[00:03:25.200 --> 00:03:27.400]  這個禮拜的政黨都非常的大
[00:03:27.400 --> 00:03:28.500]  我們目前錄影時間
[00:03:28.500 --> 00:03:30.900]  大概是臺北時間下午四點十分
[00:03:30.900 --> 00:03:33.200]  來看到美國期貨盤三大指數
[00:03:33.200 --> 00:03:34.600]  都有一些壓力
[00:03:34.600 --> 00:03:36.800]  今天盤周有一個最新訊息
[00:03:36.800 --> 00:03:38.000]  大家很擔心
[00:03:38.000 --> 00:03:40.400]  我們一開始先請專家來解讀一下
[00:03:40.400 --> 00:03:42.000]  美國跟伊朗的官員
[00:03:42.000 --> 00:03:45.900]  在阿曼新聞的一個談判即將登場了
[00:03:45.900 --> 00:03:47.400]  這個是美國住伊朗的
[00:03:47.400 --> 00:03:50.000]  虛擬大使館的網站
[00:03:50.000 --> 00:03:53.600]  今天凌晨突然發了一個安全警報
[00:03:53.600 --> 00:03:55.700]  警報的內容我們往下看
[00:03:55.700 --> 00:03:58.300]  第一個呼籲住在伊朗
[00:03:58.300 --> 00:04:02.900]  所有的美國公民立即離開伊朗
[00:04:02.900 --> 00:04:04.500]  如果現在離不開
[00:04:04.500 --> 00:04:06.600]  因為很多航空公司
[00:04:06.600 --> 00:04:10.300]  還是繼續取消往返伊朗的行班
[00:04:10.300 --> 00:04:11.900]  所以你如果定不到機票
[00:04:11.900 --> 00:04:12.900]  怎麼辦呢
[00:04:12.900 --> 00:04:15.200]  這大使館當中也提醒大家
[00:04:15.200 --> 00:04:17.700]  如果可以考慮從伊朗
[00:04:17.700 --> 00:04:21.400]  用陸陸前往附近的亞美尼亞或土耳其
[00:04:21.400 --> 00:04:24.600]  這件事情我記得在1月16號
[00:04:24.600 --> 00:04:26.300]  也曾經發生過一次
[00:04:26.300 --> 00:04:27.800]  當時也出了警視
[00:04:27.800 --> 00:04:29.600]  當天全球的一個股市
[00:04:29.600 --> 00:04:32.000]  並沒有因此而受到太大的恐慌
[00:04:32.000 --> 00:04:34.000]  但是這次是在週末
[00:04:34.000 --> 00:04:35.400]  我們連續兩天
[00:04:35.400 --> 00:04:37.600]  在股市沒有辦法反映這個消息
[00:04:37.600 --> 00:04:39.300]  這個消息要緊張嗎
[00:04:39.300 --> 00:04:40.700]  鄭老師怎麼樣來看
[00:04:40.700 --> 00:04:43.000]  這個美國住伊朗虛擬大使館
[00:04:43.000 --> 00:04:44.000]  發出的警訊
[00:04:44.000 --> 00:04:46.200]  我覺得還是要稍微緊張一下
[00:04:46.200 --> 00:04:49.400]  因為我畢竟來講這個原格萬里
[00:04:49.400 --> 00:04:51.800]  我們不太知道那邊第一所的訊息
[00:04:51.800 --> 00:04:53.800]  可是我們看一個東西就知道了
[00:04:53.800 --> 00:04:55.400]  看原有
[00:04:55.400 --> 00:04:57.900]  如果今天原有的價格持續走高
[00:04:57.900 --> 00:04:59.200]  如果你看今天的分
[00:04:59.200 --> 00:05:01.400]  你今天分開開始的時候
[00:05:01.400 --> 00:05:02.600]  其實是蠻低的
[00:05:02.600 --> 00:05:05.000]  可是現在慢慢拉起來
[00:05:05.000 --> 00:05:06.100]  對 越拉越高
[00:05:06.100 --> 00:05:07.500]  來 今天的油價
[00:05:07.500 --> 00:05:09.500]  本來早上7點在這裡
[00:05:09.500 --> 00:05:11.200]  8點往下跌
[00:05:11.200 --> 00:05:13.800]  10點鐘的時候往上漲
[00:05:13.800 --> 00:05:16.100]  目前錄影的最新時間是4點
[00:05:16.100 --> 00:05:17.700]  是往上攀漲到最高
[00:05:17.700 --> 00:05:19.500]  對 所以你不用看新聞報導
[00:05:19.500 --> 00:05:21.000]  你就看油價就好了
[00:05:21.000 --> 00:05:23.300]  因為懂得人就會去操作原油
[00:05:23.300 --> 00:05:25.200]  只要緊張原油價格就走高
