# 逐字稿 - moneyline_20260227_part1
# 來源網址: https://www.youtube.com/watch?v=eILpZ7DIAUg
# 轉換日期: 2026-02-27 20:29:03
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:19.420]  歡迎收看前線百分百個表晚安 我是劉柱華
[00:00:19.420 --> 00:00:23.400]  台股一天一驚奇 昨天台積電公升了兩千塊錢
[00:00:23.400 --> 00:00:28.200]  在今天古王的姓華 公上了一萬零兩百七十五塊錢
[00:00:28.200 --> 00:00:33.200]  古王姓華一張要破千萬台股正式進入萬元時代了
[00:00:33.200 --> 00:00:37.200]  三月還有哪些大驚奇 今天我們來個大研判
[00:00:37.200 --> 00:00:39.700]  當然今天要有個大主題來談談台積電了
[00:00:39.700 --> 00:00:42.700]  台積電最近成為了大家共同的話題
[00:00:42.700 --> 00:00:45.700]  衝上了二零二五的新天價
[00:00:45.700 --> 00:00:48.100]  買不起台積電 不敢追台積電
[00:00:48.100 --> 00:00:51.700]  現在都在找如何找韓積亮最高的ETF
[00:00:51.700 --> 00:00:54.200]  今天我們一檔帶你一檔追
[00:00:54.200 --> 00:00:57.200]  還要來看看到底這陣子誰最強
[00:00:57.200 --> 00:01:01.200]  所以今天又來了 台兩個案例可能都會發生在你我身上
[00:01:01.200 --> 00:01:03.200]  包括了一百零二十的人類
[00:01:03.200 --> 00:01:06.200]  怎麼會突然取了六十八歲的看護
[00:01:06.200 --> 00:01:09.200]  現在竟然發現這資產也一半都過給它了
[00:01:09.200 --> 00:01:11.200]  所以到底在整個的資產傳承
[00:01:11.200 --> 00:01:13.700]  怎麼樣才有 愛怎麼樣才公平
[00:01:13.700 --> 00:01:15.700]  今天很多重要議題請到四五來賓
[00:01:15.700 --> 00:01:17.700]  首先要請到盡老師晚安
[00:01:17.700 --> 00:01:18.700]  坐好 大家晚安
[00:01:18.700 --> 00:01:21.200]  好 三月到底會長什麼台股的三月天
[00:01:21.200 --> 00:01:23.700]  會不會原銷便盤 請教明這晚安
[00:01:23.700 --> 00:01:24.700]  就好 觀眾朋友大家好
[00:01:24.700 --> 00:01:26.200]  好 到底韓積亮高的ETF
[00:01:26.200 --> 00:01:28.200]  有哪一些 現在誰上去還安全
[00:01:28.200 --> 00:01:29.700]  請教的是政員晚安
[00:01:29.700 --> 00:01:30.700]  坐好 大家好
[00:01:30.700 --> 00:01:33.200]  好 兩個議題這故事跟你有什麼關係
[00:01:33.200 --> 00:01:34.700]  請教的是司律師晚安
[00:01:34.700 --> 00:01:35.700]  坐好 大家好
[00:01:35.700 --> 00:01:39.200]  台北股市今天雖然只小長一點
[00:01:39.200 --> 00:01:42.200]  但是今天盤中可熱鬧著的
[00:01:42.200 --> 00:01:44.200]  先來看到全職股台積電
[00:01:44.200 --> 00:01:46.200]  台積電今天休息
[00:01:46.200 --> 00:01:48.200]  疊灰到兩千塊以下
[00:01:48.200 --> 00:01:51.700]  但是後來的追賓叫連八顆
[00:01:51.700 --> 00:01:54.200]  今天再創歷史新高
[00:01:54.200 --> 00:01:56.200]  所以短冰箱接
[00:01:56.200 --> 00:02:00.200]  下個禮拜會不會連八顆追上台積電
[00:02:00.200 --> 00:02:04.200]  現在同樣空手的追誰會有空間
[00:02:04.200 --> 00:02:06.200]  當然全職股今天還有很多人
[00:02:06.200 --> 00:02:08.200]  在討論光寶科怎麼一回事
[00:02:08.200 --> 00:02:10.200]  昨天趙開了法學會
[00:02:10.200 --> 00:02:12.200]  EPS獲利不促啊創高啊
[00:02:12.200 --> 00:02:15.200]  為什麼今天股價直接鎖住跌停
