# 逐字稿 - moneyline_20260227_part2
# 來源網址: https://www.youtube.com/watch?v=er1wzvrgI5I
# 轉換日期: 2026-02-27 20:31:40
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:06.000]  台積電會不會被關 跟灰打大有關係
[00:00:06.000 --> 00:00:17.800]  說法是說 以目前看起來只是列入住一股
[00:00:17.800 --> 00:00:20.600]  要警示那些法人看起來他沒有被關的危機
[00:00:20.600 --> 00:00:22.400]  但就怕灰打 如果財報真的很好
[00:00:22.400 --> 00:00:25.200]  事實上有買單 他在噴上去就有可能了
[00:00:25.200 --> 00:00:27.400]  對 他就重新再計算一次注意
[00:00:27.400 --> 00:00:30.800]  那要來看看灰打 灰打過去都有個財報模仇
[00:00:30.800 --> 00:00:33.200]  不管你多好了 事實上不買單的話
[00:00:33.200 --> 00:00:36.400]  他就是開高走低 他就是信給你賣股票再說
[00:00:36.400 --> 00:00:38.800]  這次有沒有機會突破財報模仇
[00:00:38.800 --> 00:00:40.800]  其實因為我們在春節的期間
[00:00:40.800 --> 00:00:42.800]  我們台灣比較沒有報導到
[00:00:42.800 --> 00:00:45.280]  其實 OpenAI有大量的採購
[00:00:45.280 --> 00:00:48.400]  灰打的一個未來的晶片 是未來的晶片
[00:00:48.400 --> 00:00:51.400]  所以就代表他本屆營收跟下一屆的營收
[00:00:51.400 --> 00:00:53.400]  應該是有機會超標的
[00:00:53.400 --> 00:00:57.400]  就是說 財報的過程中能不能夠超很多標
[00:00:57.400 --> 00:01:00.400]  就像我們剛剛講的那個AXT一樣
[00:01:00.400 --> 00:01:02.400]  超很多標 那才有辦法
[00:01:02.400 --> 00:01:05.400]  不然的話美國在最近裡面空頭是很積極的
[00:01:05.400 --> 00:01:07.600]  你講得再好 他就發表一個說
[00:01:07.600 --> 00:01:10.000]  你資本支出很那個太多
[00:01:10.000 --> 00:01:13.400]  你現金流太少 就會講一堆這個東西
[00:01:13.400 --> 00:01:16.400]  所以我個人認為預期看灰打不如來看
[00:01:16.400 --> 00:01:20.000]  科技產業革命 整個領主建的新衰死
[00:01:20.000 --> 00:01:21.800]  可能會更清楚
[00:01:21.800 --> 00:01:24.000]  因為你會黨未來會有個GTC 黨會
[00:01:24.000 --> 00:01:26.200]  他又會發表非常多的新的技術
[00:01:26.200 --> 00:01:27.800]  又會帶給很多的領主建
[00:01:27.800 --> 00:01:29.200]  不同的一些的生命
[00:01:29.200 --> 00:01:33.600]  就像去年不就是CPO帶來今年一整年的生命
[00:01:33.600 --> 00:01:34.800]  好幾倍的一個漲幅
[00:01:34.800 --> 00:01:36.800]  OK 好 難怪要看記憶體
[00:01:36.800 --> 00:01:39.400]  因為記憶體這一波會這麼的望
[00:01:39.400 --> 00:01:42.600]  因為AI來了 怎麼從記憶體看AI
[00:01:42.600 --> 00:01:44.400]  當然我們現在講的記憶體
[00:01:44.400 --> 00:01:46.400]  跟我們台灣關係比較少一點點
[00:01:46.400 --> 00:01:48.600]  因為整個一個AI主要的記憶體
[00:01:48.600 --> 00:01:50.400]  是來自於高寬頻記憶體
[00:01:50.400 --> 00:01:52.000]  他稱之為HPN
[00:01:52.000 --> 00:01:53.400]  我們來看幾黨各國
[00:01:53.400 --> 00:01:55.400]  大家就會覺得怎麼那麼奇怪
[00:01:55.400 --> 00:01:57.400]  因為我們台灣其實跟美國的關係
[00:01:57.400 --> 00:01:59.200]  人潔度比較高
[00:01:59.200 --> 00:02:00.000]  比如說美光
[00:02:00.000 --> 00:02:01.000]  它有沒有創新高
[00:02:01.000 --> 00:02:02.700]  沒有 美光的新高是455
[00:02:02.700 --> 00:02:04.200]  昨天收盤是418
[00:02:04.200 --> 00:02:05.600]  沒有創新高
[00:02:05.600 --> 00:02:08.200]  對 那我們再來看韓國的兩家
[00:02:08.200 --> 00:02:09.200]  記憶體公司
[00:02:09.200 --> 00:02:12.400]  一檔還歷史 有沒有創新高
[00:02:12.400 --> 00:02:14.000]  歷史新高
[00:02:14.000 --> 00:02:16.000]  以前很弱 現在創新高
[00:02:16.000 --> 00:02:17.600]  我就要先跟大家講臉音
[00:02:17.600 --> 00:02:20.400]  因為三星過去不是回打供應鏈
[00:02:20.400 --> 00:02:22.400]  也不是所謂的AI供應鏈
[00:02:22.400 --> 00:02:23.600]  他從今年的2月
[00:02:23.600 --> 00:02:25.600]  通過認證5月要開始出貨
[00:02:25.600 --> 00:02:26.600]  所以你看他國家
[00:02:26.600 --> 00:02:28.800]  一通過認證之後就不要出去了
[00:02:28.800 --> 00:02:30.800]  好 我們再來看海利市的部分
[00:02:30.800 --> 00:02:32.400]  海利市就不得了
[00:02:32.400 --> 00:02:34.200]  大家知道AI是武器的HPN
[00:02:34.200 --> 00:02:36.600]  戰百分之五十以上的市戰率
[00:02:36.600 --> 00:02:37.600]  是哪一家公司嗎
[00:02:37.600 --> 00:02:39.100]  就是他
[00:02:39.100 --> 00:02:41.600]  就是海利市他戰友百分之五十以上
[00:02:41.600 --> 00:02:42.200]  市戰率
[00:02:42.200 --> 00:02:43.800]  所以海利市你看現在國家
[00:02:43.800 --> 00:02:45.200]  不斷的創新高
[00:02:45.200 --> 00:02:46.800]  你曾幾何時想過
[00:02:46.800 --> 00:02:48.800]  他曾經是一個將實企業
[00:02:48.800 --> 00:02:51.800]  那為什麼韓國的記憶體創新高
[00:02:51.800 --> 00:02:53.800]  美國的記憶體沒有創新高
[00:02:53.800 --> 00:02:55.600]  那這個部分沒有我們就要談到
[00:02:55.600 --> 00:02:58.800]  因為韓國跟大陸有點像
[00:02:58.800 --> 00:03:00.000]  客苦耐勞
[00:03:00.000 --> 00:03:02.200]  然後價格他可以壓很低
[00:03:02.200 --> 00:03:05.000]  所以如果你美國人工成本很貴
[00:03:05.000 --> 00:03:07.200]  如果你的價格沒有辦法壓很低
[00:03:07.200 --> 00:03:08.800]  那你可能未來的市戰率
[00:03:08.800 --> 00:03:10.200]  就能夠會被取代
[00:03:10.200 --> 00:03:12.400]  譬如說在今天的商Disk
[00:03:12.400 --> 00:03:14.000]  被美國分析室裡面
[00:03:14.000 --> 00:03:15.600]  放工機構面看壞
[00:03:15.600 --> 00:03:19.000]  也是因為三星可能會低價強大
[00:03:19.000 --> 00:03:20.200]  那我們就要先來看看
[00:03:20.200 --> 00:03:22.000]  海利市的前市
[00:03:22.000 --> 00:03:24.000]  今生跟未來
[00:03:24.000 --> 00:03:26.000]  那他的一個前市就前生
[00:03:26.000 --> 00:03:28.000]  他其實在1983年
[00:03:28.000 --> 00:03:30.500]  他是在現代採罰
[00:03:30.500 --> 00:03:32.300]  他們現在韓國就不喜歡
[00:03:32.300 --> 00:03:35.200]  他們這些比較屬於集團的各國
[00:03:35.200 --> 00:03:37.300]  就叫採罰支持之下
[00:03:37.300 --> 00:03:38.600]  他成立的
[00:03:38.600 --> 00:03:41.000]  那在1997、1998
[00:03:41.000 --> 00:03:43.000]  大家記得這一個數字
[00:03:43.000 --> 00:03:45.500]  這個數字是每一個人心中的痛
[00:03:45.500 --> 00:03:46.900]  尤其是我們亞洲
[00:03:46.900 --> 00:03:50.800]  那時候韓國就面臨到亞洲金融風暴
[00:03:50.800 --> 00:03:52.400]  大家如果看當時候的新聞
[00:03:52.400 --> 00:03:53.800]  韓國人有多團結知道嗎
[00:03:53.800 --> 00:03:56.300]  對把他自己的黃金
[00:03:56.300 --> 00:03:57.800]  鍋子產捐出
[00:03:57.800 --> 00:03:59.400]  全部都捐出來
[00:03:59.400 --> 00:04:01.900]  所以當時候他是在現代集團之下
[00:04:01.900 --> 00:04:03.700]  面臨到亞洲金融危機
[00:04:03.700 --> 00:04:06.300]  一直到2000年初期
[00:04:06.300 --> 00:04:07.300]  大家為什麼說
[00:04:07.300 --> 00:04:09.100]  記憶體是警器循環股
[00:04:09.100 --> 00:04:10.300]  跟LCD一樣
[00:04:10.300 --> 00:04:11.500]  到了2000年初期
[00:04:11.500 --> 00:04:13.200]  因為產能過剩
[00:04:13.200 --> 00:04:14.400]  大家成幾何時
[00:04:14.400 --> 00:04:15.600]  大家說好久沒有看到
[00:04:15.600 --> 00:04:17.600]  整個記憶體可以漲成這樣
[00:04:17.600 --> 00:04:19.600]  當時候的2000年太跌翻掉了
[00:04:19.600 --> 00:04:20.600]  產能過剩
[00:04:20.600 --> 00:04:22.400]  所以他就變成一個僵持器
[00:04:22.400 --> 00:04:24.500]  股價每釘每檔
[00:04:24.500 --> 00:04:25.400]  好像僵持
[00:04:25.400 --> 00:04:27.100]  大家知道僵持怎麼樣
[00:04:27.100 --> 00:04:28.200]  僵持不是用走的
[00:04:28.200 --> 00:04:30.100]  他只能原地跳跳跳跳
[00:04:30.100 --> 00:04:31.900]  就是一個僵持器
[00:04:31.900 --> 00:04:33.800]  那甚至到了2002年
[00:04:33.800 --> 00:04:36.300]  因為200年初產能過剩
[00:04:36.300 --> 00:04:38.900]  所以美光就有意要去做整合
[00:04:38.900 --> 00:04:42.300]  那整合用三十二億美元去做收購
[00:04:42.300 --> 00:04:44.300]  不錯啊 三十二億美元收購
[00:04:44.300 --> 00:04:45.600]  一家虧損公司
[00:04:45.600 --> 00:04:46.400]  但是他說了
[00:04:46.400 --> 00:04:47.900]  我三十二億收購
[00:04:47.900 --> 00:04:50.400]  但是你六十億美元的負債
[00:04:50.400 --> 00:04:51.700]  不關我的事
[00:04:51.700 --> 00:04:53.600]  那請問哪一家公司會賣
[00:04:53.600 --> 00:04:55.000]  我賣給你三十億而已
[00:04:55.000 --> 00:04:56.300]  我的負債有六十億
[00:04:56.300 --> 00:04:56.800]  你不管
[00:04:56.800 --> 00:04:58.400]  那我還要負剩下的嗎
[00:04:58.400 --> 00:04:59.600]  負剩下的二十八億
[00:04:59.600 --> 00:05:00.400]  不可能
[00:05:00.400 --> 00:05:02.800]  所以就沒有病構到美光
[00:05:02.800 --> 00:05:05.100]  所以美光就沒有病構成功
[00:05:05.100 --> 00:05:06.800]  好啦 那沒有病構成功呢
[00:05:06.800 --> 00:05:09.800]  那再加上韓國政府的推波住籃
[00:05:09.800 --> 00:05:13.700]  那時候大家還記得我們也曾經兩兆雙心
[00:05:13.700 --> 00:05:16.300]  當然後來變成兩兆雙心對不對
[00:05:16.300 --> 00:05:18.600]  後來一直到了2011年
[00:05:18.600 --> 00:05:21.300]  就是SK就是海利市這個集團
[00:05:21.300 --> 00:05:22.800]  就稱之為SK
[00:05:22.800 --> 00:05:26.200]  SK集團就用3.4兆韓元
[00:05:26.200 --> 00:05:28.900]  他們這個集團在當時候的韓國
[00:05:28.900 --> 00:05:33.000]  他非常的鼓勵 購幣 合幣 整合
[00:05:33.000 --> 00:05:35.200]  在國家的力量的介入之下
[00:05:35.200 --> 00:05:36.800]  他進行了這個集團
[00:05:36.800 --> 00:05:39.300]  SK集團第三比的收購
[00:05:39.300 --> 00:05:40.800]  我們就不用講前面的兩比
[00:05:40.800 --> 00:05:42.800]  這是他第三比的收購
[00:05:42.800 --> 00:05:46.000]  當時候所有的SK集團的內部人士
[00:05:46.000 --> 00:05:46.800]  都反對
[00:05:46.800 --> 00:05:47.600]  為什麼反對呢
