# 逐字稿 - moneyline_20260227_part3
# 來源網址: https://www.youtube.com/watch?v=h6oc4Zi7yzw
# 轉換日期: 2026-02-27 20:33:01
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:09.200]  接下來這個案例
[00:00:09.200 --> 00:00:11.700]  102歲的人潤老爺爺閃
[00:00:11.700 --> 00:00:13.100]  為了68歲的刊貨
[00:00:13.100 --> 00:00:16.700]  為什麼會掀起上議員的加產真多戰呢
[00:00:16.700 --> 00:00:18.800]  所以我先把這個故事告訴大家
[00:00:18.800 --> 00:00:20.800]  就發生在今年而已
[00:00:20.800 --> 00:00:25.600]  這位身價8億元的102歲的老爺爺
[00:00:25.600 --> 00:00:27.200]  過去小孩子都很大了
[00:00:27.200 --> 00:00:29.600]  很多小孩子是每個年紀都很大了
[00:00:29.600 --> 00:00:31.400]  於是沒有辦法照顧他
[00:00:31.400 --> 00:00:33.700]  就找了一個刊貨來照顧他
[00:00:33.700 --> 00:00:36.800]  沒有想到這位68歲的刊貨
[00:00:36.800 --> 00:00:42.000]  在今年年初嫁給了這個102歲的老爺爺了
[00:00:42.000 --> 00:00:45.000]  這件事情他的小孩子沒有一個人知道
[00:00:45.000 --> 00:00:47.000]  知道之後他們都覺得非常的意外
[00:00:47.000 --> 00:00:48.800]  結婚怎麼沒有告訴我呢
[00:00:48.800 --> 00:00:50.100]  而且不僅如此
[00:00:50.100 --> 00:00:51.400]  這68歲的刊貨
[00:00:51.400 --> 00:00:54.200]  結婚之後就不准他的小孩子來
[00:00:54.200 --> 00:00:56.000]  探望這個老爺爺了
[00:00:56.000 --> 00:00:57.600]  小孩子很生氣
[00:00:57.600 --> 00:00:59.600]  趁著有一次他去看病的時候
[00:00:59.600 --> 00:01:01.800]  趕快把這個老爺爺搶回來
[00:01:01.800 --> 00:01:04.000]  一搶回來帶季打掉
[00:01:04.000 --> 00:01:06.500]  才發現他們兩個不僅僅在今年
[00:01:06.500 --> 00:01:08.300]  一月的時候公正結婚
[00:01:08.300 --> 00:01:11.600]  這老爺爺已經把名下7比的土地價值
[00:01:11.600 --> 00:01:13.800]  8000萬的保單這期中算起來
[00:01:13.800 --> 00:01:17.600]  兩億元的資產都已經過戶給刊貨了
[00:01:17.600 --> 00:01:20.200]  所以屬於是我先問一下
[00:01:20.200 --> 00:01:23.200]  這個消息這個新聞一發出哪些爭議
[00:01:23.200 --> 00:01:25.600]  第一個說他刊貨的時候
[00:01:25.600 --> 00:01:29.300]  配偶是不可以阻止子女探視父親
[00:01:29.300 --> 00:01:30.000]  可不可以
[00:01:30.000 --> 00:01:31.900]  今天我是太太 我是健身
[00:01:31.900 --> 00:01:33.100]  小孩子你不要來看
[00:01:33.100 --> 00:01:34.600]  你不能說我爸爸不要看你
[00:01:34.600 --> 00:01:36.700]  或者媽媽不要看你可不可以這樣子
[00:01:36.700 --> 00:01:39.200]  那麼子女他能不能阻章
[00:01:39.200 --> 00:01:40.300]  婚姻無效
[00:01:40.300 --> 00:01:42.300]  我覺得他你不是刊貨嗎
[00:01:42.300 --> 00:01:43.800]  你是幫我爸爸來刊貨
[00:01:43.800 --> 00:01:45.800]  那怎麼會突然變成這個
[00:01:45.800 --> 00:01:47.400]  那你根本不行啊
[00:01:47.400 --> 00:01:49.200]  你他質疑嘛對不對
[00:01:49.200 --> 00:01:51.300]  而且據說他們也有在拍一個
[00:01:51.300 --> 00:01:52.200]  他們有講
[00:01:52.200 --> 00:01:54.600]  他們自己在心裡面有講說
[00:01:54.600 --> 00:01:57.000]  這個爸爸的人類他有三段婚姻
[00:01:57.000 --> 00:01:59.000]  第一段婚姻的媽媽過世之後
[00:01:59.000 --> 00:02:01.000]  那第二段婚姻要把離婚了
[00:02:01.000 --> 00:02:02.600]  那第三是第三段婚姻
[00:02:02.600 --> 00:02:03.800]  他們認為說不太可能
[00:02:03.800 --> 00:02:06.400]  所以他們有些質疑 這子女有質疑
[00:02:06.400 --> 00:02:07.400]  那最後他我想
[00:02:07.400 --> 00:02:09.000]  被我大家都想問
[00:02:09.000 --> 00:02:11.500]  那這樣證明了7比1土地
[00:02:11.500 --> 00:02:12.700]  跟這個保單
[00:02:12.700 --> 00:02:14.800]  他到底可不可以要求綁環
[00:02:14.800 --> 00:02:16.500]  這是這三個關鍵
[00:02:16.500 --> 00:02:17.700]  我覺得這三個問題很有趣
[00:02:17.700 --> 00:02:20.700]  就是如果我只是把他念國區
[00:02:20.700 --> 00:02:21.800]  其實我很直觀
[00:02:21.800 --> 00:02:23.200]  都覺得說這三個不成立
[00:02:23.200 --> 00:02:26.200]  但是如果今天我是這件事情裡頭的
[00:02:26.200 --> 00:02:28.100]  當事人 我是小孩
[00:02:28.100 --> 00:02:29.900]  我可能都覺得這三件事情
[00:02:29.900 --> 00:02:31.200]  可是有可以支出
[00:02:31.200 --> 00:02:32.900]  後面一個來 第一個
[00:02:32.900 --> 00:02:36.500]  配偶可以阻止子女探視父親嗎
[00:02:36.500 --> 00:02:40.400]  好 這件事情就產生在這個前提是
[00:02:40.400 --> 00:02:42.700]  這個配偶是突然跑出來配偶
[00:02:42.700 --> 00:02:44.200]  突然跑出來 對
[00:02:44.200 --> 00:02:46.200]  不是親身父母嗎
[00:02:46.200 --> 00:02:47.700]  然後就是突然跑出來
[00:02:47.700 --> 00:02:48.500]  那突然跑出來
[00:02:48.500 --> 00:02:50.000]  那我們要先瞭解
[00:02:50.000 --> 00:02:52.600]  配偶怎麼成為配偶要結婚
[00:02:52.600 --> 00:02:54.800]  各位 結婚這件事情看起來很簡單
[00:02:54.800 --> 00:02:57.600]  可是其實他很多迷港在裡面的
[00:02:57.600 --> 00:03:00.400]  因為在其實結婚裡面
[00:03:00.400 --> 00:03:01.400]  首先最重要的是
[00:03:01.400 --> 00:03:03.300]  到底結婚的爭議
[00:03:03.300 --> 00:03:04.800]  你們是不是有結婚爭議
[00:03:04.800 --> 00:03:06.300]  只要有結婚爭議
[00:03:06.300 --> 00:03:09.100]  那結婚有沒有有沒有稅數的限制
[00:03:09.100 --> 00:03:09.600]  沒有
[00:03:09.600 --> 00:03:10.600]  沒有啊
[00:03:10.600 --> 00:03:12.100]  所以其實這個新聞出來的時候
[00:03:12.100 --> 00:03:14.100]  其實我們同時有告訴我說
[00:03:14.100 --> 00:03:14.900]  很好啊
[00:03:14.900 --> 00:03:16.600]  102歲 結婚很好
[00:03:16.600 --> 00:03:17.900]  為什麼不好呢
[00:03:17.900 --> 00:03:19.600]  他只要願意就有什麼不可以
[00:03:19.600 --> 00:03:21.400]  因為我們大家都不知道內幕嘛
[00:03:21.400 --> 00:03:22.900]  你就在 為什麼不可以
[00:03:22.900 --> 00:03:24.200]  結婚可以啊
[00:03:24.200 --> 00:03:25.000]  他可以
[00:03:25.000 --> 00:03:26.900]  只要你年滿18歲
[00:03:26.900 --> 00:03:28.600]  現在你滿18歲以上
[00:03:28.600 --> 00:03:30.000]  何況是102歲
[00:03:30.000 --> 00:03:32.500]  只要你可以表達結婚的意思的時候
[00:03:32.500 --> 00:03:33.400]  是可以
[00:03:33.400 --> 00:03:35.400]  那接下來你實質上要見以外
[00:03:35.400 --> 00:03:36.700]  你要形式上要見符合
[00:03:36.700 --> 00:03:38.600]  也就是說你今天要登記哦
[00:03:38.600 --> 00:03:40.200]  現在已經要登記了哦
[00:03:40.200 --> 00:03:41.400]  跟以前不太一樣
[00:03:41.400 --> 00:03:42.400]  現在登記
[00:03:42.400 --> 00:03:44.400]  那登記的時候要到護正單位登記
[00:03:44.400 --> 00:03:44.900]  OK
[00:03:44.900 --> 00:03:48.000]  那需要什麼雙方簽署了結婚的輸約
[00:03:48.000 --> 00:03:48.900]  兩個簽署
[00:03:48.900 --> 00:03:50.300]  還有兩位證人
[00:03:50.300 --> 00:03:51.800]  這個證人不能是假的
[00:03:51.800 --> 00:03:54.100]  一定要說真的要看到他們結婚的
[00:03:54.100 --> 00:03:56.300]  這個才是成為才會結婚
[00:03:56.300 --> 00:03:58.700]  那結婚的時候才會變成佩奧
[00:03:58.700 --> 00:04:00.900]  那麼有的人叫記的
[00:04:00.900 --> 00:04:03.600]  結婚不能現在阻止辦儀式
[00:04:03.600 --> 00:04:06.700]  我們驗課都穿著新郎香的驗課
[00:04:06.700 --> 00:04:08.500]  算不算結婚 不算
[00:04:08.500 --> 00:04:11.300]  所以自從97年5月23號起
[00:04:11.300 --> 00:04:12.300]  結婚
[00:04:12.300 --> 00:04:13.600]  就是如果說你有不公開
[00:04:13.600 --> 00:04:14.200]  你是驗課
[00:04:14.200 --> 00:04:15.400]  這已經不重要了
[00:04:15.400 --> 00:04:16.900]  你不驗課也可以
[00:04:16.900 --> 00:04:18.100]  你所以你說有人質疑說
[00:04:18.100 --> 00:04:20.200]  那這個康復沒有驗課
[00:04:20.200 --> 00:04:22.200]  家人不知道可不可以算結婚
[00:04:22.200 --> 00:04:22.900]  可以
[00:04:22.900 --> 00:04:25.200]  只要有這個形式都不算結婚
[00:04:25.200 --> 00:04:26.700]  所以就算你有這個
[00:04:26.700 --> 00:04:27.800]  沒有這個也不算數
[00:04:27.800 --> 00:04:28.700]  也不算數
[00:04:28.700 --> 00:04:30.200]  所以他質疑說
[00:04:30.200 --> 00:04:31.200]  你不讓我知道不好意思
[00:04:31.200 --> 00:04:32.200]  這個不能當作
[00:04:32.200 --> 00:04:34.200]  好 那這個康復說
[00:04:34.200 --> 00:04:35.500]  我跟這個野野
[00:04:35.500 --> 00:04:36.700]  我跟你爸爸
[00:04:36.700 --> 00:04:38.900]  已經有形式的要見了
[00:04:38.900 --> 00:04:40.200]  所以會因是成立的
[00:04:40.200 --> 00:04:40.700]  成立的
[00:04:40.700 --> 00:04:43.200]  那他能不能禁止
[00:04:43.200 --> 00:04:45.200]  他的小孩去看他
[00:04:45.200 --> 00:04:46.200]  我跟你講
[00:04:46.200 --> 00:04:47.700]  還真的不行
[00:04:47.700 --> 00:04:48.700]  不能禁止
[00:04:48.700 --> 00:04:49.500]  不能禁止
[00:04:49.500 --> 00:04:51.000]  不能說單獨禁止
[00:04:51.000 --> 00:04:54.500]  因為父親他有自由的選擇權
[00:04:54.500 --> 00:04:56.000]  也就是說今天我要見誰
[00:04:56.000 --> 00:04:57.000]  我不想見你
[00:04:57.000 --> 00:04:58.500]  我不想見你就不見你
[00:04:58.500 --> 00:04:59.500]  我要見你就見你
[00:04:59.500 --> 00:05:00.800]  可是重點不是在配偶
[00:05:00.800 --> 00:05:01.900]  重點是在自己
[00:05:01.900 --> 00:05:03.500]  這個人類他如果說
[00:05:03.500 --> 00:05:04.300]  願不願意
[00:05:04.300 --> 00:05:06.600]  如果這個人類他自己想見
[00:05:06.600 --> 00:05:07.400]  他就跟他見
[00:05:07.400 --> 00:05:08.200]  不想見
[00:05:08.200 --> 00:05:09.100]  他就不見
[00:05:09.100 --> 00:05:10.100]  如果是自己
[00:05:10.100 --> 00:05:11.600]  父親自己
[00:05:11.600 --> 00:05:12.500]  不想見
[00:05:12.500 --> 00:05:14.000]  配偶是沒有違法
[00:05:14.000 --> 00:05:15.600]  就是本身人類說
[00:05:15.600 --> 00:05:16.900]  我不想見孩子
[00:05:16.900 --> 00:05:18.600]  那配偶幫他擋一下
[00:05:18.600 --> 00:05:20.000]  那配偶沒有違法
[00:05:20.000 --> 00:05:21.900]  可是如果相反的
[00:05:21.900 --> 00:05:23.500]  如果是父親想要見
[00:05:23.500 --> 00:05:24.500]  配偶不讓他見
[00:05:24.500 --> 00:05:25.600]  那這個就有可能
[00:05:25.600 --> 00:05:27.800]  你為主導權在父親身上
[00:05:27.800 --> 00:05:29.800]  所以配偶是沒有權
[00:05:29.800 --> 00:05:31.000]  不讓子女探視
[00:05:31.000 --> 00:05:32.800]  那接下來大家想要探視
