# 逐字稿 - revenue_analysis_20210830
# 來源網址: https://www.youtube.com/watch?v=RQUO1pd9gTw
# 轉換日期: 2026-02-07 13:19:30
# Whisper 模型: base

================================================================================


[00:00:00.000 --> 00:00:15.440]  (音樂)
[00:00:15.440 --> 00:00:19.400]  大家好 我是有空金正卷 炸之大叔啊
[00:00:19.400 --> 00:00:24.360]  又來到我們風機裡手把手鼓是分析的系列影片喔
[00:00:24.360 --> 00:00:27.840]  今天我會跟觀眾朋友來分享
[00:00:27.840 --> 00:00:30.480]  你在觀察一家企業的時候
[00:00:30.480 --> 00:00:32.720]  的最及時的數據
[00:00:32.720 --> 00:00:34.480]  每月營熟
[00:00:34.480 --> 00:00:38.560]  這個每月營的時候應該要怎麼樣去做運用
[00:00:38.560 --> 00:00:42.880]  它可以對你的投資有什麼樣的好處跟幫助呢
[00:00:42.880 --> 00:00:48.280]  在大叔會在影片當中一步一步手把手的跟你分享
[00:00:48.280 --> 00:00:50.200]  自己的私藏筆記
[00:00:50.200 --> 00:00:51.840]  也許觀眾朋友已經發現
[00:00:51.840 --> 00:00:55.040]  今天的背景怎麼看起來有點不太一樣呢
[00:00:55.040 --> 00:00:59.640]  主要是因為現在三級警戒啊已經禁止群聚
[00:00:59.640 --> 00:01:02.640]  所以我們也沒有辦法過去攝影棚
[00:01:02.640 --> 00:01:05.960]  現在呢 家在大叔剛好也是居家上班
[00:01:05.960 --> 00:01:08.960]  今天是我居家上班的第二天
[00:01:08.960 --> 00:01:12.800]  在自己家裡面的感覺很輕鬆五塊
[00:01:12.800 --> 00:01:14.480]  笑容應該也會比較多一點點
[00:01:14.480 --> 00:01:17.720]  服務各位觀眾朋友的這個目標不變
[00:01:17.720 --> 00:01:22.120]  那只是影片的流暢度可能會稍微受到一點影響喔
[00:01:22.120 --> 00:01:27.280]  但是同樣的 老鼓是盤投資度過愉快的一天
[00:01:27.280 --> 00:01:32.920]  也希望觀眾朋友建立用一個比較輕鬆的心情來看這部影片
[00:01:32.920 --> 00:01:37.600]  正式開始之前呢 大家記得幫我們按讚訂閱分享
[00:01:37.600 --> 00:01:40.640]  首先我們來看營熟是什麼意思
[00:01:40.640 --> 00:01:45.880]  它在財務上的定義就是評價公司本頁的獲利來源
[00:01:45.880 --> 00:01:47.320]  譬如說便利商店
[00:01:47.320 --> 00:01:50.800]  它賣你茶葉大 賣你咖啡 賣你午餐
[00:01:50.800 --> 00:01:54.000]  每一個品項銷售書去的金額加起來
[00:01:54.000 --> 00:01:59.000]  在這一個月的時間就是它的每月營熟
[00:01:59.000 --> 00:02:05.440]  營收有多麼的重要呢 給觀眾朋友看一下兩個近期的新聞
[00:02:05.440 --> 00:02:08.200]  指揮中心宣布全國三級警戒
[00:02:08.200 --> 00:02:16.200]  延長那很多的餐廳 政府都限制它只能夠外送 外帶 禁止內用
[00:02:16.200 --> 00:02:21.560]  家製大廚也觀察到很多餐廳 乾脆這一段期間就拉下門 關門
[00:02:21.560 --> 00:02:25.240]  就沒有營業 暫停營業人都受到很大的衝擊
[00:02:25.240 --> 00:02:29.000]  那它暫停營業是不是就沒有營收
[00:02:29.000 --> 00:02:31.800]  所以沒有營收的狀況之下
[00:02:31.800 --> 00:02:36.200]  基本上它的未來的營運一定就會受到影響
[00:02:36.200 --> 00:02:42.640]  所以你可以看到右邊的新聞 這個疫情對於參與旅遊的衝擊是最大玩意
[00:02:42.640 --> 00:02:47.440]  就是沒有辦法營業 也沒有辦法營業 就沒有辦法得到營收
[00:02:47.440 --> 00:02:51.040]  營收是一家企業最重要的根本
[00:02:51.040 --> 00:02:55.440]  所以這個營收它的避看指數就是誤科興
[00:02:55.440 --> 00:02:59.040]  接下來我們來看 營收的公布時間
[00:02:59.040 --> 00:03:06.440]  按照主管機關規定就是每個月的10號之前要去公布上個月的租收
[00:03:06.440 --> 00:03:12.240]  那有一些財務課本或是有一些人他們會覺得說 營收嘛
[00:03:12.240 --> 00:03:15.240]  如果是好消息 公子就會提前公布
[00:03:15.240 --> 00:03:19.640]  如果是壞消息 營收不好的話就會晚一點公布
[00:03:19.640 --> 00:03:23.640]  那家事大事必須說這一點未必
[00:03:23.640 --> 00:03:34.640]  因為根本沒有人要知道 這個營收都需要經過關機人員的統計公司內部的聖課 正確無入之後才會公布出去嘛
[00:03:34.640 --> 00:03:42.040]  所以有一些公司 它乾脆就是不定10號來公布上個月的租收
[00:03:42.040 --> 00:03:47.240]  既然你主管機關規定10號前嘛 那我就是考量自己的企業的作業時間
[00:03:47.240 --> 00:03:51.240]  乾脆我就定在10號統一來公布上月的租收
